PRAD,HR,P-value,Hr-Inv-lst,PCPG,HR,P-value,Hr-Inv-lst,PAAD,HR,P-value,Hr-Inv-lst,OV,HR,P-value,Hr-Inv-lst,THYM,HR,P-value,Hr-Inv-lst,UVM,HR,P-value,Hr-Inv-lst,UCEC,HR,P-value,Hr-Inv-lst,UCS,HR,P-value,Hr-Inv-lst,THCA,HR,P-value,Hr-Inv-lst,TGCT,HR,P-value,Hr-Inv-lst,STAD,HR,P-value,Hr-Inv-lst,SKCM,HR,P-value,Hr-Inv-lst,SARC,HR,P-value,Hr-Inv-lst,READ,HR,P-value,Hr-Inv-lst,LUAD,HR,P-value,Hr-Inv-lst,MESO,HR,P-value,Hr-Inv-lst,LUSC,HR,P-value,Hr-Inv-lst,LIHC,HR,P-value,Hr-Inv-lst,LGG,HR,P-value,Hr-Inv-lst,LAML,HR,P-value,Hr-Inv-lst,KIRP,HR,P-value,Hr-Inv-lst,KIRC,HR,P-value,Hr-Inv-lst,KICH,HR,P-value,Hr-Inv-lst,HNSC,HR,P-value,Hr-Inv-lst,GBM,HR,P-value,Hr-Inv-lst,ESCA,HR,P-value,Hr-Inv-lst,DLBC,HR,P-value,Hr-Inv-lst,CHOL,HR,P-value,Hr-Inv-lst,CESC,HR,P-value,Hr-Inv-lst,BRCA,HR,P-value,Hr-Inv-lst,BLCA,HR,P-value,Hr-Inv-lst,ACC,HR,P-value,Hr-Inv-lst,COAD,HR,P-value,Hr-Inv-lst
BCL2L1,1.54341027,0.56300064,0.64791586,BCL2L1,0.7109428,0.70869754,1.40658291,BCL2L1,2.06987653,0.00801605,0.4831206,BCL2L1,1.07084756,0.65725875,0.93383973,BCL2L1,0.131923992,0.066886341,7.580122328,BCL2L1,1.63252623,0.39956442,0.61254759,BCL2L1,10.3593185,0.02480615,0.09653145,BCL2L1,1.10197487,0.78845482,0.90746171,BCL2L1,0.48678636,0.18437174,2.05428928,BCL2L1,1.67184623,0.67507978,0.59814113,BCL2L1,0.70572013,0.12220777,1.41699232,BCL2L1,1.01559152,0.92409782,0.98464785,BCL2L1,0.9566932,0.84836981,1.04526718,BCL2L1,0.310033026,0.162451108,3.22546283,BCL2L1,1.105849366,0.583266938,0.904282293,BCL2L1,0.87850908,0.63679628,1.13829217,BCL2L1,1.10529083,0.53675723,0.90473925,BCL2L1,0.885876436,0.570678385,1.128825601,BCL2L1,1.685033057,0.01338434,0.593460167,BCL2L1,1.012470292,0.947315475,0.987683301,BCL2L1,0.508666746,0.06979356,1.965923677,BCL2L1,1.273226265,0.12976654,0.785406355,BCL2L1,0.516193901,0.350269123,1.93725652,BCL2L1,1.002901313,0.985156738,0.99710708,BCL2L1,1.260741495,0.234645105,0.793184014,BCL2L1,0.5570308,0.032347645,1.795232867,BCL2L1,0.324376331,0.330123537,3.082838989,BCL2L1,0.544462515,0.240596062,1.836673733,BCL2L1,1.230034034,0.428795571,0.812985635,BCL2L1,0.966716033,0.863678096,1.034429931,BCL2L1,0.926522655,0.69239191,1.079304423,BCL2L1,0.484718831,0.083282382,2.063051684,BCL2L1,1.784533845,0.083437876,0.560370431
BCL2L10,0.93017307,0.9248207,1.07506875,BCL2L10,4.28814571,0.19287819,0.23320103,BCL2L10,0.75329012,0.2860091,1.32750979,BCL2L10,0.91919456,0.58702526,1.08790897,BCL2L10,1.652025255,0.563076116,0.605317623,BCL2L10,2.32051771,0.15184717,0.43093832,BCL2L10,0.79512607,0.69460623,1.2576622,BCL2L10,1.09195804,0.80910691,0.91578611,BCL2L10,1.08266576,0.88213145,0.92364609,BCL2L10,2.37604135,0.48037814,0.4208681,BCL2L10,1.19417575,0.43290457,0.83739768,BCL2L10,0.86424432,0.37383586,1.15708021,BCL2L10,0.99913166,0.99703629,1.0008691,BCL2L10,1.30692156,0.749683494,0.765156862,BCL2L10,1.167542359,0.400655209,0.856499974,BCL2L10,1.95678206,0.01905262,0.51104312,BCL2L10,1.16667853,0.34078683,0.85713414,BCL2L10,0.747394213,0.182422145,1.337981994,BCL2L10,0.863000117,0.4808412,1.158748394,BCL2L10,1.417309811,0.065299324,0.705562039,BCL2L10,0.272746532,0.001526729,3.666407758,BCL2L10,0.667124475,0.012442009,1.498970638,BCL2L10,0.568996545,0.425511425,1.757479916,BCL2L10,1.358110129,0.0552484,0.736317312,BCL2L10,1.400809969,0.085314643,0.713872704,BCL2L10,1.55824281,0.096476395,0.641748509,BCL2L10,1.75190662,0.575340917,0.570806679,BCL2L10,0.700657209,0.488104108,1.427231444,BCL2L10,1.105733321,0.69852523,0.904377196,BCL2L10,0.775830412,0.203319614,1.288941481,BCL2L10,0.788652821,0.222953593,1.267985067,BCL2L10,0.723440869,0.422382561,1.38228298,BCL2L10,1.087530598,0.797174909,0.919514359
BCL2L11,2.3560913,0.24631525,0.42443177,BCL2L11,1.58628969,0.61335625,0.63040188,BCL2L11,1.97196587,0.01048066,0.50710817,BCL2L11,1.13526851,0.41099026,0.88084889,BCL2L11,4.242770029,0.190742339,0.235695075,BCL2L11,1.3515397,0.59875613,0.73989688,BCL2L11,1.23407633,0.70818006,0.81032265,BCL2L11,0.81956461,0.58286615,1.22016005,BCL2L11,1.11610746,0.83982105,0.89597107,BCL2L11,1.83494406,0.62019449,0.54497574,BCL2L11,1.71348164,0.01888426,0.58360707,BCL2L11,0.94811851,0.74292728,1.05472047,BCL2L11,1.13830982,0.57650383,0.87849545,BCL2L11,0.289648838,0.251823845,3.452456451,BCL2L11,0.945936601,0.760430637,1.057153301,BCL2L11,1.26967129,0.37073349,0.78760543,BCL2L11,0.88696071,0.45824248,1.12744566,BCL2L11,0.674243751,0.06554943,1.483143149,BCL2L11,1.072274833,0.745761175,0.932596727,BCL2L11,1.405684474,0.071445574,0.711397201,BCL2L11,2.12040656,0.039695064,0.471607671,BCL2L11,0.922758531,0.613969337,1.083707131,BCL2L11,0.693306015,0.585413168,1.442364524,BCL2L11,0.853009896,0.310564733,1.172319342,BCL2L11,0.898785902,0.58698025,1.112612022,BCL2L11,1.214670582,0.473278501,0.823268477,BCL2L11,1.905447465,0.532843576,0.524811111,BCL2L11,0.65139055,0.419621675,1.535177323,BCL2L11,0.721251689,0.212937376,1.386478555,BCL2L11,1.289519402,0.198708827,0.77548271,BCL2L11,0.866814252,0.460394453,1.153649698,BCL2L11,0.840320334,0.665624179,1.190022375,BCL2L11,0.926826816,0.819801054,1.078950223
BCL2L2,1.07767729,0.91713788,0.92792157,BCL2L2,1.19182434,0.83094842,0.83904982,BCL2L2,0.50087744,0.01110732,1.99649639,BCL2L2,1.17628451,0.29379736,0.85013446,BCL2L2,5.795785889,0.10934022,0.172539155,BCL2L2,1.43669336,0.52740808,0.69604275,BCL2L2,0.71987364,0.55631846,1.38913268,BCL2L2,1.14746193,0.70293414,0.87148861,BCL2L2,2.08332646,0.18975741,0.48000158,BCL2L2,0.49054034,0.56093578,2.03856831,BCL2L2,0.82873165,0.40304762,1.20666322,BCL2L2,0.94461096,0.72475666,1.05863688,BCL2L2,0.71628025,0.15327937,1.3961016,BCL2L2,0.172942719,0.125843423,5.782261363,BCL2L2,0.879509429,0.493752084,1.136997475,BCL2L2,0.64630314,0.11085168,1.54726156,BCL2L2,1.23695594,0.18929602,0.80843623,BCL2L2,1.42660544,0.103777398,0.700964662,BCL2L2,0.64574652,0.041066306,1.548595259,BCL2L2,0.98821488,0.949831234,1.011925666,BCL2L2,0.632807269,0.199088517,1.580259978,BCL2L2,0.653215146,0.009145764,1.530889181,BCL2L2,0.453893801,0.264600468,2.20315853,BCL2L2,0.942875256,0.705864499,1.060585686,BCL2L2,1.142048415,0.49542419,0.875619621,BCL2L2,0.886036336,0.668609498,1.128621885,BCL2L2,1.276923738,0.807172305,0.783132125,BCL2L2,0.902542679,0.844427919,1.107980846,BCL2L2,0.970155036,0.90711871,1.030763087,BCL2L2,0.901290839,0.602038639,1.109519765,BCL2L2,0.675349446,0.046432078,1.480714918,BCL2L2,0.710337665,0.396570733,1.407781186,BCL2L2,0.580235724,0.11171372,1.723437491
BGN,2.19798261,0.34691034,0.45496265,BGN,0.14719109,0.08133758,6.79388968,BGN,0.93880057,0.81066197,1.06518896,BGN,1.11557516,0.47984189,0.89639859,BGN,1.058413274,0.944765564,0.944810524,BGN,0.70055723,0.53485853,1.42743513,BGN,2.34212917,0.16096634,0.42696193,BGN,0.88915569,0.74521354,1.12466243,BGN,0.94881784,0.92293423,1.05394308,BGN,1.87466236,0.60801274,0.53342939,BGN,1.17832594,0.46816539,0.84866162,BGN,1.38622504,0.04691273,0.72138359,BGN,1.12974012,0.60054911,0.88515932,BGN,1.086660545,0.913911147,0.920250583,BGN,1.228444056,0.260106094,0.814037884,BGN,1.05332279,0.85007421,0.94937659,BGN,1.16999252,0.32992672,0.85470632,BGN,0.894207296,0.600966942,1.118308925,BGN,2.678170713,1.55E-05,0.373389193,BGN,0.756674607,0.138382213,1.321572035,BGN,1.667565,0.155655181,0.599676774,BGN,1.104379759,0.532087809,0.905485628,BGN,0.779058488,0.710902379,1.283600674,BGN,1.173917029,0.31048827,0.85184896,BGN,1.406430522,0.084385226,0.711019837,BGN,1.444958611,0.178010726,0.692061345,BGN,0.777615615,0.802591243,1.285982406,BGN,0.97824091,0.965283689,1.02224308,BGN,1.320237116,0.282973293,0.757439696,BGN,0.74502096,0.141448058,1.342244115,BGN,1.175978483,0.402925679,0.850355695,BGN,1.098259411,0.816502985,0.910531693,BGN,2.035311278,0.030293242,0.491325337
BID,1.99784791,0.40890339,0.5005386,BID,0.13776978,0.07118994,7.258486,BID,1.51550705,0.12073179,0.65984516,BID,0.8733553,0.38020891,1.14500937,BID,1.005081551,0.995069247,0.994944141,BID,2.99685674,0.09680766,0.33368295,BID,0.71069777,0.578952,1.40706787,BID,0.85192512,0.66112573,1.17381208,BID,0.44135869,0.13282414,2.26573087,BID,1.91502678,0.59580874,0.52218591,BID,1.00652727,0.97691484,0.99351506,BID,0.79700173,0.16295322,1.25470242,BID,0.76637565,0.25123664,1.30484312,BID,1.67141929,0.508126469,0.598293921,BID,1.459898442,0.043231482,0.684979154,BID,1.41156904,0.22305234,0.70843152,BID,0.96014273,0.80196229,1.04151182,BID,1.011620938,0.956923709,0.988512557,BID,0.433729641,0.000181179,2.305583724,BID,1.306335504,0.158816401,0.765500131,BID,2.48849974,0.020919531,0.401848545,BID,1.973244,4.65E-05,0.506779699,BID,0.705343191,0.603574088,1.417749562,BID,1.244289237,0.165376283,0.803671663,BID,0.751816058,0.144049015,1.330112584,BID,1.201845404,0.493761031,0.832053771,BID,0.383541127,0.406764063,2.60728232,BID,0.82572893,0.713220943,1.211051185,BID,1.345039136,0.252838082,0.743472791,BID,0.787725257,0.230171893,1.269478147,BID,0.754236854,0.150018735,1.32584346,BID,0.875067175,0.741780375,1.142769411,BID,0.731418778,0.32446461,1.367205806
BIK,0.51149799,0.38182454,1.95504188,BIK,0.4255567,0.32742598,2.34986311,BIK,1.94843678,0.01560586,0.51323195,BIK,1.0715052,0.65441317,0.93326659,BIK,1.662470005,0.560040236,0.601514612,BIK,1.45477141,0.51531543,0.68739322,BIK,2.26601012,0.18247681,0.4413043,BIK,1.03686246,0.92302829,0.96444807,BIK,0.87962821,0.81077533,1.13684394,BIK,0.43509223,0.49720725,2.29836325,BIK,0.86399855,0.51631568,1.15740935,BIK,1.03860555,0.81915612,0.96282944,BIK,1.02930183,0.90060909,0.97153232,BIK,2.097971888,0.394482411,0.47665081,BIK,1.485705943,0.033035588,0.673080703,BIK,1.46916481,0.14939716,0.68065883,BIK,1.17535382,0.32281115,0.85080763,BIK,0.946994745,0.800375935,1.055972069,BIK,1.71893462,0.011220586,0.581755693,BIK,0.772944847,0.171140321,1.293753369,BIK,0.995588563,0.990126076,1.004430984,BIK,1.110608844,0.51062043,0.90040702,BIK,0.113507755,0.040404953,8.809970732,BIK,1.380046451,0.040007285,0.72461329,BIK,1.140188876,0.500977553,0.877047672,BIK,0.941651894,0.823177128,1.061963563,BIK,2.02698512,0.481706095,0.493343533,BIK,1.784357268,0.282445631,0.560425884,BIK,0.898285444,0.678688562,1.113231887,BIK,0.959146974,0.831845332,1.042593082,BIK,0.672071234,0.041358972,1.487937511,BIK,2.92945436,0.01602651,0.341360498,BIK,1.348408732,0.350766022,0.741614895
BIRC3,0.70810362,0.63691566,1.4122227,BIRC3,1.93534266,0.47012354,0.51670436,BIRC3,1.56018058,0.09185347,0.64095145,BIRC3,1.49593105,0.0110285,0.66848001,BIRC3,1.409956603,0.677045634,0.709241687,BIRC3,2.45482095,0.13684624,0.40736169,BIRC3,2.07448355,0.2144528,0.48204769,BIRC3,1.14161485,0.71397024,0.87595216,BIRC3,1.10099647,0.8590854,0.90826812,BIRC3,633205323,0.99885217,1.58E-09,BIRC3,0.93368114,0.7636337,1.07102946,BIRC3,0.54875035,0.00022464,1.8223223,BIRC3,0.86481124,0.53415083,1.1563217,BIRC3,0.613851505,0.657335948,1.629058482,BIRC3,1.423823088,0.052268812,0.702334446,BIRC3,0.71615551,0.21682671,1.39634477,BIRC3,0.9533378,0.76922729,1.04894613,BIRC3,1.00898597,0.966686776,0.991094059,BIRC3,1.560302512,0.034761381,0.640901359,BIRC3,1.138040707,0.493166134,0.87870319,BIRC3,1.984251942,0.058860119,0.503968261,BIRC3,1.371338359,0.04894812,0.729214634,BIRC3,2.58436939,0.179832638,0.38694159,BIRC3,0.784876426,0.124848872,1.274085917,BIRC3,1.238536613,0.275303826,0.807404472,BIRC3,1.0353946,0.899618473,0.965815352,BIRC3,0.771285494,0.795249641,1.296536767,BIRC3,2.092012629,0.171058128,0.478008587,BIRC3,0.838631177,0.497370022,1.192419299,BIRC3,0.769617798,0.18679887,1.29934625,BIRC3,0.843439998,0.376668456,1.185620794,BIRC3,0.437797159,0.051740003,2.284162834,BIRC3,1.177977277,0.621406373,0.84891281
BMF,0.86212635,0.83644278,1.15992279,BMF,0.7127242,0.71076515,1.40306727,BMF,0.77381673,0.33219401,1.29229567,BMF,1.236882,0.16844902,0.80848456,BMF,4.34E-10,0.998971167,2306726989,BMF,1.24827399,0.69185751,0.80110618,BMF,1.60685865,0.42020002,0.62233228,BMF,0.41534635,0.01837427,2.40762921,BMF,0.39737629,0.11986298,2.51650644,BMF,0.50899509,0.58139074,1.9646555,BMF,1.0885704,0.70513894,0.91863604,BMF,0.95363065,0.77023079,1.04862401,BMF,0.81164106,0.36864186,1.23207172,BMF,5.86E-01,0.523535287,1.707549938,BMF,0.801053603,0.228483649,1.248355911,BMF,0.96104746,0.88188028,1.04053134,BMF,0.98465816,0.92380741,1.01558088,BMF,1.134478574,0.559220818,0.881462218,BMF,1.592362518,0.032223524,0.627997701,BMF,1.361203075,0.100832081,0.734644241,BMF,0.739860717,0.403209304,1.351605751,BMF,1.017740895,0.911832523,0.982568358,BMF,0.233262094,0.069977957,4.287023155,BMF,0.611544032,0.001871867,1.635205231,BMF,1.038195731,0.850338534,0.963209509,BMF,1.275332494,0.365234236,0.784109246,BMF,2.681400005,0.395553947,0.372939509,BMF,1.027712281,0.957432556,0.973034982,BMF,1.006559995,0.980198977,0.993482758,BMF,1.043688886,0.827701343,0.958139934,BMF,0.904112124,0.601728493,1.106057505,BMF,0.582429497,0.186947275,1.71694601,BMF,0.87963062,0.704245864,1.136840826
BMP2,3.03772459,0.17418017,0.32919377,BMP2,0.2161887,0.16383688,4.62558873,BMP2,1.97547288,0.01228923,0.50620791,BMP2,0.87972927,0.40534913,1.13671335,BMP2,1.23490819,0.799786764,0.809776798,BMP2,3.44687225,0.06487028,0.29011809,BMP2,2.1591045,0.20099926,0.46315498,BMP2,0.94710722,0.8808504,1.05584667,BMP2,2.61789621,0.14007364,0.38198611,BMP2,1.69031711,0.66865096,0.59160497,BMP2,1.14429739,0.55117239,0.8738987,BMP2,0.88863279,0.46609472,1.12532422,BMP2,1.31827774,0.23458382,0.75856549,BMP2,0.613851505,0.657335948,1.629058482,BMP2,1.122572992,0.528208813,0.890810671,BMP2,1.15461525,0.58933033,0.86608938,BMP2,1.27584961,0.13362102,0.78379144,BMP2,1.003573533,0.986672836,0.996439192,BMP2,0.325298265,8.44E-07,3.074101857,BMP2,1.13568258,0.497928394,0.880527726,BMP2,1.508486459,0.253227556,0.662916126,BMP2,0.685244632,0.018044885,1.459332847,BMP2,0.278786549,0.111246915,3.586973631,BMP2,1.148848582,0.375939307,0.870436727,BMP2,0.739767335,0.125044242,1.351776367,BMP2,1.575337507,0.110747459,0.634784607,BMP2,3.57124571,0.270398083,0.280014337,BMP2,0.447394547,0.146831184,2.235163588,BMP2,1.469087761,0.142119133,0.680694528,BMP2,0.888835437,0.5549566,1.125067654,BMP2,0.751937892,0.142202313,1.32989707,BMP2,0.612456271,0.239822243,1.632769631,BMP2,1.318615105,0.391890003,0.758371413
BNIP3L,1.69525519,0.4762927,0.58988169,BNIP3L,0.58617196,0.55859081,1.70598403,BNIP3L,1.81246627,0.02702085,0.55173441,BNIP3L,1.14840598,0.37425208,0.8707722,BNIP3L,2.163913475,0.374406603,0.462125686,BNIP3L,1.09071486,0.87695227,0.9168299,BNIP3L,0.8219554,0.73196413,1.21661102,BNIP3L,1.40776152,0.34589594,0.71034759,BNIP3L,4.55576551,0.04784369,0.21950208,BNIP3L,558945035,0.99885946,1.79E-09,BNIP3L,1.17744387,0.46802848,0.84929738,BNIP3L,1.01016318,0.95024837,0.98993908,BNIP3L,0.91033526,0.68504565,1.0984964,BNIP3L,3.075670544,0.197307635,0.325132353,BNIP3L,0.747093875,0.10902825,1.338519875,BNIP3L,1.45059663,0.17668557,0.68937152,BNIP3L,0.86589772,0.37249431,1.15487081,BNIP3L,1.191463683,0.414295848,0.839303803,BNIP3L,0.917775824,0.683600965,1.089590697,BNIP3L,0.967675611,0.860944987,1.033404158,BNIP3L,1.326181674,0.429759774,0.754044502,BNIP3L,0.670754553,0.012176817,1.490858311,BNIP3L,4.077852414,0.079766861,0.245227119,BNIP3L,0.843643629,0.276351223,1.185334619,BNIP3L,0.98467065,0.937370989,1.015567997,BNIP3L,1.163136852,0.586560322,0.859744061,BNIP3L,0.466385827,0.447987992,2.144147489,BNIP3L,4.273641562,0.016492935,0.233992483,BNIP3L,1.318588726,0.287232993,0.758386584,BNIP3L,0.846311893,0.398992945,1.18159748,BNIP3L,1.527991375,0.030459589,0.654453956,BNIP3L,0.8689633,0.727993673,1.150796587,BNIP3L,0.733722883,0.354660408,1.36291238
BRCA1,1.47966328,0.59587509,0.67582943,BRCA1,2.03338857,0.41670743,0.49178992,BRCA1,1.30692857,0.31520214,0.76515276,BRCA1,1.12503484,0.4466791,0.88886136,BRCA1,0.112559505,0.056460889,8.884189729,BRCA1,1.71373123,0.37132868,0.58352207,BRCA1,1.17987167,0.76714491,0.8475498,BRCA1,1.16395241,0.67464743,0.85914166,BRCA1,0.69904339,0.5228652,1.43052636,BRCA1,2.14552115,0.53310251,0.46608723,BRCA1,0.97061898,0.89643282,1.0302704,BRCA1,1.1812943,0.30817487,0.8465291,BRCA1,1.40808218,0.14172849,0.71018582,BRCA1,0.090157044,0.026557154,11.09175675,BRCA1,1.389091758,0.073185415,0.719894848,BRCA1,3.79234425,5.55E-06,0.26368914,BRCA1,0.89808219,0.50833429,1.11348384,BRCA1,1.017567571,0.935133708,0.982735721,BRCA1,2.623014053,4.13E-05,0.381240809,BRCA1,0.954540894,0.803923176,1.047624053,BRCA1,2.048224074,0.047327701,0.488227832,BRCA1,1.007544095,0.962129177,0.992512392,BRCA1,3.488714021,0.119293915,0.286638571,BRCA1,0.914643598,0.567136443,1.093322035,BRCA1,1.11836869,0.56660497,0.89415951,BRCA1,1.403000546,0.214411475,0.712758098,BRCA1,0.372939509,0.395553947,2.681400005,BRCA1,2.836229126,0.07591451,0.352580823,BRCA1,0.671603828,0.129330179,1.488973049,BRCA1,1.710173799,0.007887767,0.584735891,BRCA1,1.107020505,0.598699238,0.903325635,BRCA1,5.792006193,0.000472949,0.172651749,BRCA1,0.894089727,0.727292745,1.118455978
BTG2,0.13363307,0.06020623,7.48317765,BTG2,0.23645749,0.18937476,4.22908988,BTG2,0.94556951,0.83215115,1.05756372,BTG2,0.81236785,0.18102382,1.23096945,BTG2,0.972214934,0.976120793,1.02857914,BTG2,0.67212841,0.48943271,1.48781095,BTG2,0.58997627,0.34453569,1.69498342,BTG2,1.12256865,0.74840325,0.89081412,BTG2,1.12268811,0.83070827,0.89071933,BTG2,2.11315932,0.54127932,0.47322509,BTG2,1.10718909,0.65400882,0.90318809,BTG2,0.88808218,0.46351468,1.12602192,BTG2,0.52640029,0.00691797,1.899695,BTG2,1.232933517,0.786948824,0.811073741,BTG2,0.633638168,0.015413451,1.578187758,BTG2,0.54289575,0.02713502,1.84197425,BTG2,1.23482432,0.19383639,0.8098318,BTG2,0.989806567,0.961781434,1.010298409,BTG2,0.958169684,0.838354613,1.04365648,BTG2,0.981844084,0.922237948,1.018491649,BTG2,1.324196998,0.430940171,0.755174647,BTG2,0.833222654,0.251355991,1.200159399,BTG2,0.31111203,0.145409451,3.21427622,BTG2,0.80325062,0.161130573,1.244941461,BTG2,1.039293005,0.843643713,0.962192563,BTG2,1.478177718,0.148079371,0.676508642,BTG2,1.14019557,0.896051146,0.877042524,BTG2,0.941390055,0.908090304,1.062258938,BTG2,0.81995839,0.451625449,1.21957408,BTG2,0.671029535,0.044103548,1.49024737,BTG2,0.654936831,0.032591543,1.52686481,BTG2,1.458252574,0.367829863,0.685752261,BTG2,0.509979212,0.048010117,1.960864241
BTG3,0.35113267,0.2037977,2.84792643,BTG3,2.93955648,0.3368324,0.34018737,BTG3,0.93657301,0.80278809,1.06772242,BTG3,0.852891,0.30159831,1.17248277,BTG3,5.099253319,0.138395049,0.196107143,BTG3,3.88894014,0.03998184,0.25713947,BTG3,0.50929364,0.2641455,1.96350382,BTG3,1.37543158,0.37813252,0.72704452,BTG3,0.62215988,0.39300064,1.6073039,BTG3,1.86E-09,0.99886331,537859615,BTG3,0.81506388,0.3697048,1.22689771,BTG3,1.39150674,0.04518509,0.71864546,BTG3,1.01027137,0.96488929,0.98983306,BTG3,2.619125459,0.313957679,0.381806834,BTG3,1.029008568,0.874862505,0.971809207,BTG3,1.69118475,0.05762902,0.59130145,BTG3,0.6063943,0.0022743,1.64909201,BTG3,0.966731242,0.875554387,1.034413657,BTG3,3.289408294,5.24E-07,0.304006043,BTG3,1.113340088,0.566692873,0.898198144,BTG3,2.520571485,0.015786001,0.396735425,BTG3,1.82253208,0.00024833,0.548687187,BTG3,0.414281502,0.213739795,2.413817645,BTG3,0.69954189,0.022873861,1.42950696,BTG3,0.813616195,0.292468187,1.229080747,BTG3,1.054440067,0.844838022,0.948370639,BTG3,4.562215708,0.189406564,0.21919174,BTG3,1.61703121,0.353391869,0.618417254,BTG3,0.9378778,0.8044787,1.066236987,BTG3,1.349602456,0.131301754,0.740958936,BTG3,0.97652004,0.902305835,1.024044524,BTG3,1.79463974,0.15255224,0.557214898,BTG3,0.868807766,0.662982574,1.151002603
CASP1,0.43438053,0.31030805,2.30212898,CASP1,0.61004652,0.57003583,1.63921925,CASP1,1.47399093,0.14617165,0.67843022,CASP1,1.05188504,0.74491178,0.95067423,CASP1,7.596651574,0.06680615,0.131636944,CASP1,2.90270787,0.0772048,0.3445059,CASP1,1.86944354,0.30901366,0.53491853,CASP1,0.96510803,0.92401173,1.03615344,CASP1,1.03552632,0.94794928,0.9656925,CASP1,600079841,0.99885433,1.67E-09,CASP1,1.39295412,0.14074969,0.71789874,CASP1,0.87492568,0.40929908,1.14295422,CASP1,0.51429821,0.00517215,1.94439719,CASP1,1.626249746,0.529231476,0.614911702,CASP1,0.759240702,0.140063561,1.317105362,CASP1,0.45559861,0.00651876,2.19491453,CASP1,1.05432724,0.74537336,0.94847213,CASP1,1.217645275,0.365232304,0.821257242,CASP1,2.102926475,0.000624336,0.4755278,CASP1,1.483718989,0.037444461,0.673982073,CASP1,1.103506548,0.781904757,0.906202144,CASP1,1.125993484,0.454505062,0.888104606,CASP1,0.540926734,0.38581061,1.848679198,CASP1,1.24506797,0.159400762,0.803169003,CASP1,1.14599514,0.487345306,0.87260405,CASP1,0.725770828,0.234167553,1.377845405,CASP1,3.396580411,0.290383198,0.294413757,CASP1,0.802591993,0.672796469,1.245963091,CASP1,1.322345319,0.282840846,0.756232117,CASP1,0.842366816,0.386012591,1.187131284,CASP1,0.975648241,0.898188675,1.024959568,CASP1,0.43693652,0.05430629,2.288661979,CASP1,1.316726468,0.388095453,0.759459177
CASP2,1.27744353,0.74865493,0.78281347,CASP2,0.74713887,0.74953107,1.33843927,CASP2,2.51764898,0.00138754,0.39719596,CASP2,0.68989954,0.01830541,1.4494864,CASP2,0.296571839,0.168572991,3.371864317,CASP2,0.23692402,0.02962644,4.22076249,CASP2,2.0790386,0.21596171,0.48099155,CASP2,1.04939478,0.89704012,0.95293022,CASP2,1.25587755,0.67448213,0.79625597,CASP2,0.54201259,0.6170236,1.84497559,CASP2,1.1063623,0.65291162,0.90386305,CASP2,1.2935933,0.1120358,0.77304049,CASP2,1.78615553,0.01694398,0.55986166,CASP2,1.212213517,0.805962335,0.82493718,CASP2,1.408042772,0.059909813,0.710205698,CASP2,2.15557389,0.0072893,0.46391358,CASP2,0.95198079,0.76000294,1.05044137,CASP2,1.368873196,0.14218481,0.730527855,CASP2,2.363991633,0.000118319,0.423013342,CASP2,0.6351039,0.0164912,1.574545518,CASP2,1.272207997,0.497287066,0.78603499,CASP2,1.337645401,0.069841721,0.747582281,CASP2,4.197092852,0.07402971,0.238260157,CASP2,0.770520561,0.095835918,1.2978239,CASP2,1.393122983,0.090271198,0.717811717,CASP2,1.202062922,0.49598873,0.831903207,CASP2,0.535074229,0.588412753,1.868899577,CASP2,1.20815959,0.712825224,0.827705221,CASP2,0.447918634,0.002912501,2.232548336,CASP2,1.01176213,0.953403348,0.98837461,CASP2,0.917217924,0.654837778,1.090253444,CASP2,1.404898775,0.399478486,0.711795055,CASP2,1.012314954,0.969199619,0.987834859
CASP3,0.74372644,0.67892406,1.34458041,CASP3,0.46322508,0.37926996,2.15877774,CASP3,1.5918003,0.08103525,0.62821951,CASP3,0.78858908,0.1266471,1.26808756,CASP3,0.228303614,0.179618465,4.380132142,CASP3,3.38080614,0.06531225,0.29578744,CASP3,1.1330689,0.83314224,0.88255887,CASP3,0.74703483,0.42084512,1.33862567,CASP3,1.24275215,0.68764529,0.80466568,CASP3,537859576,0.99886331,1.86E-09,CASP3,0.6727195,0.07982445,1.48650367,CASP3,0.73562692,0.05884424,1.35938472,CASP3,1.06152895,0.79677707,0.94203742,CASP3,1.494778582,0.602356654,0.668995403,CASP3,0.869074266,0.441125464,1.15064965,CASP3,1.15038598,0.60391556,0.86927346,CASP3,0.79031183,0.14545284,1.26532333,CASP3,0.985095886,0.943871284,1.015129607,CASP3,1.7668819,0.007743756,0.565968784,CASP3,0.695707798,0.054422926,1.437385067,CASP3,1.070901061,0.846988034,0.93379308,CASP3,1.833404227,0.000257664,0.545433454,CASP3,0.562453705,0.415887453,1.777924104,CASP3,1.350112778,0.055824416,0.740678865,CASP3,1.015934841,0.93625971,0.984315096,CASP3,1.004004056,0.988000916,0.996011912,CASP3,0.796877882,0.824339603,1.254897422,CASP3,0.970125912,0.95289709,1.030794031,CASP3,0.717843963,0.204794156,1.393060402,CASP3,1.295575385,0.189944637,0.771857826,CASP3,0.781549946,0.20127202,1.279508757,CASP3,1.945168125,0.111284841,0.514094379,CASP3,0.509616932,0.051173243,1.962258192
